日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20150713,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4132.23,4278.16,4072.43,4211.81,105.26,2.56,50209.22,6592.52,300
20150714,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4178.63,4258.51,4062.50,4112.15,-99.66,-2.37,45442.20,5975.21,300
20150715,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4068.88,4114.24,3899.51,3966.76,-145.39,-3.54,42195.64,5140.65,300
20150716,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3949.64,4067.02,3856.32,3997.36,30.60,0.77,33053.13,4100.51,300
20150717,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4023.76,4190.19,4000.23,4151.50,154.14,3.86,33110.71,4355.97,300
20150720,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4157.06,4221.69,4106.39,4160.61,9.12,0.22,35267.35,4834.94,300
20150721,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4109.76,4201.48,4081.70,4166.01,5.39,0.13,31837.49,4316.96,300
20150722,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4148.56,4187.43,4094.71,4157.16,-8.85,-0.21,31894.60,4418.33,300
20150723,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4158.93,4262.06,4148.82,4250.81,93.64,2.25,35447.18,4839.72,300
20150724,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4255.20,4299.65,4154.62,4176.28,-74.53,-1.75,39204.54,5359.02,300
20150727,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4097.80,4156.31,3817.17,3818.73,-357.55,-8.56,36505.45,4779.52,300
20150728,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3690.97,3883.45,3627.42,3811.09,-7.64,-0.20,38352.72,4826.55,300
20150729,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3839.96,3934.00,3769.19,3930.38,119.29,3.13,27697.28,3722.88,300
20150730,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3915.78,3968.53,3802.88,3815.41,-114.97,-2.93,27154.87,3763.51,300
20150731,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3777.15,3863.62,3757.99,3816.70,1.29,0.03,22237.68,2993.13,300
20150803,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3766.07,3829.24,3742.58,3829.24,12.54,0.33,24580.50,3096.31,300
20150804,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3827.37,3948.45,3801.03,3948.16,118.92,3.11,22023.66,2887.57,300
20150805,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3937.62,3962.28,3858.66,3866.90,-81.26,-2.06,20048.43,2726.94,300
20150806,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3802.93,3888.69,3793.24,3831.85,-35.05,-0.91,14727.87,1955.32,300
20150807,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3866.43,3926.65,3857.91,3906.94,75.09,1.96,18334.92,2465.46,300
20150810,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3947.47,4101.73,3932.84,4084.36,177.42,4.54,30678.05,4017.02,300
20150811,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4083.59,4110.13,4042.00,4066.67,-17.70,-0.43,32203.42,4169.97,300
20150812,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4025.67,4078.03,4015.35,4016.13,-50.54,-1.24,25514.62,3397.99,300
20150813,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4010.01,4075.70,3967.82,4075.46,59.34,1.48,24283.70,3198.88,300
20150814,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4097.92,4113.16,4056.73,4073.54,-1.92,-0.05,25339.30,3400.77,300
20150817,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4058.11,4081.77,4009.99,4077.87,4.33,0.11,25693.96,3368.31,300
20150818,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4084.31,4103.05,3816.55,3825.41,-252.46,-6.19,31988.11,4249.24,300
20150819,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3748.27,3898.74,3668.19,3886.14,60.72,1.59,26904.98,3409.23,300
20150820,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3848.40,3880.82,3761.45,3761.45,-124.68,-3.21,21216.80,2705.77,300
